time_us,R_um,Rdot_m_s
0.000,1.000,0.100
0.100,3.068,25.810
0.200,5.685,26.357
0.300,8.327,26.472
0.400,10.977,26.519
0.500,13.631,26.546
0.600,16.286,26.562
0.700,18.943,26.574
0.800,21.601,26.583
0.900,24.259,26.589
1.000,26.918,26.594
1.100,29.578,26.599
1.200,32.238,26.602
1.300,34.898,26.605
1.400,37.559,26.608
1.500,40.220,26.610
1.600,42.881,26.612
1.700,45.542,26.614
1.800,48.204,26.615
1.900,50.865,26.616
2.000,53.527,26.618
2.100,56.189,26.619
2.200,58.851,26.620
2.300,61.513,26.621
2.400,64.175,26.621
2.500,66.837,26.622
2.600,69.499,26.623
2.700,72.162,26.624
2.779,74.252,26.624
